Job Title,Cleaned_Description
Flutter Developer,"Design and develop high-performance mobile applications using Flutter. Collaborate with cross-functional teams to define, design, and ship new features. Ensure the performance, quality, and responsiveness of applications. Experience with Dart, REST APIs, and Firebase."
Django Developer,"Develop backend web applications using Django and Python. Build and maintain APIs, work with PostgreSQL or MySQL databases, integrate third-party libraries, and deploy scalable web services. Experience with REST frameworks, authentication systems, and ORM."
Machine Learning,"Design and implement machine learning models for classification, regression, and clustering tasks. Work with large datasets using pandas and NumPy, and develop solutions using scikit-learn, TensorFlow or PyTorch. Evaluate model performance and deploy models to production systems."
iOS Developer,"Build and maintain native iOS applications using Swift and Objective-C. Collaborate with design and backend teams to create seamless mobile experiences. Implement modern architectural patterns like MVVM, and integrate RESTful APIs and CoreData."
Full Stack Developer,"Develop and maintain full-stack web applications using React.js for frontend and Node.js or Django for backend. Work with RESTful APIs, relational and NoSQL databases, and deploy applications using Docker and CI/CD pipelines. Experience in cloud services like AWS or Azure preferred."
Java Developer,"Develop scalable Java applications and APIs using Spring Boot. Collaborate with frontend and database teams, ensure code quality through unit testing, and optimize application performance."
Full Stack Developer,"Develop and maintain full-stack web applications using React.js for frontend and Node.js or Django for backend. Work with RESTful APIs, relational and NoSQL databases, and deploy applications using Docker and CI/CD pipelines. Experience in cloud services like AWS or Azure preferred."
JavaScript Developer,"Build dynamic web applications using JavaScript frameworks like React, Angular, or Vue. Integrate APIs, maintain frontend performance, and ensure responsive design and accessibility compliance."
DevOps Engineer,"Implement and maintain CI/CD pipelines using Jenkins, GitHub Actions, or GitLab. Automate infrastructure with tools like Terraform, manage cloud deployments, and monitor system performance and reliability."
Software Engineer,"Design, develop, and test software systems using modern languages and frameworks. Collaborate with cross-functional teams, write clean and efficient code, and contribute to full SDLC practices."
Database Administrator,"Manage and maintain relational and NoSQL databases like MySQL, PostgreSQL, and MongoDB. Perform backups, optimize queries, ensure data integrity, and implement security measures."
